"overlap","intervals","bins","num verticies","numDiffexp","mapperBHI","hclustBHI","kclustBHI","mapperDiffBHI","hclustBHIDiff","kclustBHIDiff"
"1",10,20,10,21,40,0.349487519889672,0.353078567493239,0.268518518518518,0.258928571428571,0.364285714285714,0.268518518518518
"2",10,20,15,21,40,0.349487519889672,0.353078567493239,0.316666666666667,0.258928571428571,0.364285714285714,0.316666666666667
"3",10,20,20,32,40,0.3517602471624,0.35148115136609,0.266666666666667,0.258928571428571,0.364285714285714,0.266666666666667
"4",10,20,25,32,40,0.3517602471624,0.35148115136609,0.345238095238095,0.258928571428571,0.364285714285714,0.345238095238095
"5",10,20,30,32,40,0.3517602471624,0.35148115136609,0.385416666666667,0.258928571428571,0.364285714285714,0.385416666666667
"6",10,25,10,25,40,0.367161631866037,0.348978784183086,0.32,0.278333333333333,0.364285714285714,0.32
"7",10,25,15,25,40,0.367161631866037,0.348978784183086,0.316666666666667,0.278333333333333,0.364285714285714,0.316666666666667
"8",10,25,20,31,40,0.369013483717889,0.355384272572478,0.302083333333333,0.278333333333333,0.364285714285714,0.302083333333333
"9",10,25,25,44,40,0.368782002236407,0.33552073967154,0.311111111111111,0.278333333333333,0.330555555555556,0.311111111111111
"10",10,25,30,44,40,0.368782002236407,0.33552073967154,0.270833333333333,0.278333333333333,0.330555555555556,0.270833333333333
"11",10,30,10,44,40,0.368782002236407,0.33552073967154,0.270833333333333,0.278333333333333,0.330555555555556,0.270833333333333
"12",10,30,15,44,40,0.368782002236407,0.33552073967154,0.270833333333333,0.278333333333333,0.330555555555556,0.270833333333333
"13",10,30,20,44,40,0.368782002236407,0.33552073967154,0.270833333333333,0.278333333333333,0.330555555555556,0.270833333333333
"14",10,30,25,44,40,0.368782002236407,0.33552073967154,0.270833333333333,0.278333333333333,0.330555555555556,0.270833333333333
"15",10,30,30,44,40,0.368782002236407,0.33552073967154,0.270833333333333,0.278333333333333,0.330555555555556,0.270833333333333
"16",10,35,10,39,40,0.361269200231509,0.338886449203765,0.322916666666667,0.218518518518519,0.341666666666667,0.322916666666667
"17",10,35,15,43,40,0.362249592388371,0.336666430275151,0.351851851851852,0.218518518518519,0.330555555555556,0.351851851851852
"18",10,35,20,47,40,0.359798611996215,0.330188938625496,0.391666666666667,0.218518518518519,0.313888888888889,0.391666666666667
"19",10,35,25,62,40,0.359639448783418,0.331938010062889,0.392857142857143,0.218518518518519,0.30952380952381,0.392857142857143
"20",10,35,30,72,40,0.35706523660216,0.358145047595845,0.314285714285714,0.218518518518519,0.261904761904762,0.314285714285714
"21",10,40,10,43,40,0.358999143218156,0.336666430275151,0.335416666666667,0.268518518518518,0.330555555555556,0.335416666666667
"22",10,40,15,44,40,0.358999143218156,0.33552073967154,0.358333333333333,0.268518518518518,0.330555555555556,0.358333333333333
"23",10,40,20,47,40,0.358999143218156,0.330188938625496,0.37037037037037,0.268518518518518,0.313888888888889,0.37037037037037
