"overlap","intervals","bins","num verticies","mapperBHI","hclustBHI","kclustBHI","mapperDiffBHI","hclustBHIDiff","kclustBHIDiff"
"1",10,20,10,23,0.27114488866278,0.2521694239537,0.147916666666667,0.231481481481481,0.184325396825397,0.147916666666667
"2",10,20,12,23,0.27114488866278,0.2521694239537,0.147916666666667,0.231481481481481,0.184325396825397,0.147916666666667
"3",10,20,14,21,0.290752731800034,0.260600883175337,0.151851851851852,0.231481481481481,0.184325396825397,0.151851851851852
"4",10,20,16,23,0.27114488866278,0.2521694239537,0.147916666666667,0.231481481481481,0.184325396825397,0.147916666666667
"5",10,20,18,31,0.27114488866278,0.286733878401768,0.285714285714286,0.231481481481481,0.184325396825397,0.285714285714286
"6",10,20,20,31,0.27114488866278,0.286733878401768,0.285714285714286,0.231481481481481,0.184325396825397,0.285714285714286
"7",10,20,22,27,0.270728964717444,0.277454474524792,0.25,0.231481481481481,0.184325396825397,0.25
"8",10,20,24,29,0.271299063235835,0.285035773787058,0.229166666666667,0.231481481481481,0.184325396825397,0.229166666666667
"9",10,20,26,30,0.287813335496155,0.286733878401768,0.261904761904762,0.231481481481481,0.184325396825397,0.261904761904762
"10",10,20,28,113,0.302955500307294,0.326525272265961,0.135416666666667,0.231481481481481,0.157993197278912,0.135416666666667
"11",10,20,30,196,0.352300625580249,0.273950425750081,0.154761904761905,0.197916666666667,0.221428571428571,0.154761904761905
"12",10,25,10,27,0.295119594380563,0.277454474524792,0.25,0.204761904761905,0.184325396825397,0.25
"13",10,25,12,27,0.295119594380563,0.277454474524792,0.25,0.204761904761905,0.184325396825397,0.25
"14",10,25,14,27,0.295119594380563,0.277454474524792,0.25,0.204761904761905,0.184325396825397,0.25
"15",10,25,16,30,0.284875574099591,0.286733878401768,0.261904761904762,0.204761904761905,0.184325396825397,0.261904761904762
"16",10,25,18,29,0.284875574099591,0.285035773787058,0.229166666666667,0.204761904761905,0.184325396825397,0.229166666666667
"17",10,25,20,60,0.291152630376648,0.314826685063506,0.158333333333333,0.204761904761905,0.181547619047619,0.158333333333333
"18",10,25,22,59,0.291152630376648,0.314826685063506,0.164583333333333,0.204761904761905,0.181547619047619,0.164583333333333
"19",10,25,24,89,0.274861903559605,0.313434609579488,0.221428571428571,0.175238095238095,0.157993197278912,0.221428571428571
"20",10,25,26,139,0.277632413103678,0.297794393761402,0.178571428571429,0.175238095238095,0.184325396825397,0.178571428571429
"21",10,25,28,271,0.285562429618549,0.286953860981963,0.25,0.175238095238095,0.31,0.25
"22",10,25,30,349,0.288936397259182,0.28667726270758,0.25,0.175238095238095,0.31,0.25
"23",10,30,10,37,0.297807294625819,0.293749115909344,0.214814814814815,0.25,0.184325396825397,0.214814814814815
"24",10,30,12,49,0.303509061058826,0.304536612146056,0.180952380952381,0.25,0.181547619047619,0.180952380952381
"25",10,30,14,51,0.303509061058826,0.312734411874261,0.178571428571429,0.25,0.181547619047619,0.178571428571429
"26",10,30,16,49,0.303509061058826,0.304536612146056,0.180952380952381,0.25,0.181547619047619,0.180952380952381
