"overlap" "intervals" "bins" "num verticies" "numDiffexp" "mapperBHI" "hclustBHI" "kclustBHI" "mapperDiffBHI" "hclustBHIDiff" "kclustBHIDiff"
"1" 5 8 10 8 1000 0.307203006940289 0.283686128870838 0.311223280673961 0.350318811261978 0.318045382264458 0.311223280673961
"2" 5 8 11 8 1000 0.307203006940289 0.283686128870838 0.31553060653491 0.350318811261978 0.318045382264458 0.31553060653491
"3" 5 8 12 13 1000 0.313074219061501 0.298015269551683 0.309661864452367 0.350318811261978 0.324059318388816 0.309661864452367
"4" 5 8 13 8 1000 0.307203006940289 0.283686128870838 0.310907567776918 0.350318811261978 0.318045382264458 0.310907567776918
"5" 5 8 14 8 1000 0.307203006940289 0.283686128870838 0.315220347120908 0.350318811261978 0.318045382264458 0.315220347120908
"6" 5 8 15 13 1000 0.313074219061501 0.298015269551683 0.317452510508866 0.350318811261978 0.324059318388816 0.317452510508866
"7" 5 8 16 13 1000 0.313074219061501 0.298015269551683 0.322867973460248 0.350318811261978 0.324059318388816 0.322867973460248
"8" 5 8 17 8 1000 0.307203006940289 0.283686128870838 0.315752115259607 0.350318811261978 0.318045382264458 0.315752115259607
"9" 5 8 18 13 1000 0.313074219061501 0.298015269551683 0.310954260483582 0.350318811261978 0.324059318388816 0.310954260483582
"10" 5 8 19 13 1000 0.313074219061501 0.298015269551683 0.320054939455983 0.350318811261978 0.324059318388816 0.320054939455983
"11" 5 8 20 13 1000 0.313074219061501 0.298015269551683 0.314612218100285 0.350318811261978 0.324059318388816 0.314612218100285
"12" 5 9 10 9 1000 0.311902799776685 0.284036235999889 0.314504280943674 0.34593196209756 0.313737477122564 0.314504280943674
"13" 5 9 11 9 1000 0.311902799776685 0.284036235999889 0.316033208862842 0.34593196209756 0.313737477122564 0.316033208862842
"14" 5 9 12 9 1000 0.311902799776685 0.284036235999889 0.314504280943674 0.34593196209756 0.313737477122564 0.314504280943674
"15" 5 9 13 9 1000 0.311902799776685 0.284036235999889 0.315831103761862 0.34593196209756 0.313737477122564 0.315831103761862
"16" 5 9 14 9 1000 0.311902799776685 0.284036235999889 0.313761182853007 0.34593196209756 0.313737477122564 0.313761182853007
"17" 5 9 15 10 1000 0.311902799776685 0.292776410630655 0.315030911212874 0.34593196209756 0.313737477122564 0.315030911212874
"18" 5 9 16 10 1000 0.311902799776685 0.292776410630655 0.317292618900443 0.34593196209756 0.313737477122564 0.317292618900443
"19" 5 9 17 13 1000 0.311902799776685 0.298015269551683 0.304009808056782 0.34593196209756 0.324059318388816 0.304009808056782
"20" 5 9 18 10 1000 0.311902799776685 0.292776410630655 0.309027826125212 0.34593196209756 0.313737477122564 0.309027826125212
"21" 5 9 19 16 1000 0.313351394248535 0.298749952066429 0.317091878834005 0.34593196209756 0.319109121390654 0.317091878834005
"22" 5 9 20 15 1000 0.311902799776685 0.292664216365659 0.307917978515336 0.34593196209756 0.314544057588227 0.307917978515336
"23" 5 10 10 11 1000 0.309855524421526 0.287140400470843 0.313485250047297 0.342402751728037 0.30551978192686 0.313485250047297
"24" 5 10 11 11 1000 0.309855524421526 0.287140400470843 0.302883169679431 0.342402751728037 0.30551978192686 0.302883169679431
"25" 5 10 12 11 1000 0.309855524421526 0.287140400470843 0.305877439136103 0.342402751728037 0.30551978192686 0.305877439136103
"26" 5 10 13 11 1000 0.309855524421526 0.287140400470843 0.305747535643845 0.342402751728037 0.30551978192686 0.305747535643845
"27" 5 10 14 11 1000 0.309855524421526 0.287140400470843 0.299793305887145 0.342402751728037 0.30551978192686 0.299793305887145
"28" 5 10 15 11 1000 0.309855524421526 0.287140400470843 0.300025535235641 0.342402751728037 0.30551978192686 0.300025535235641
"29" 5 10 16 15 1000 0.309855524421526 0.292664216365659 0.315272667619117 0.342402751728037 0.314544057588227 0.315272667619117
"30" 5 10 17 15 1000 0.309855524421526 0.292664216365659 0.3120931593146 0.342402751728037 0.314544057588227 0.3120931593146
"31" 5 10 18 15 1000 0.309855524421526 0.292664216365659 0.318872163618454 0.342402751728037 0.314544057588227 0.318872163618454
"32" 5 10 19 15 1000 0.309855524421526 0.292664216365659 0.316179826444944 0.342402751728037 0.314544057588227 0.316179826444944
"33" 5 10 20 11 1000 0.309855524421526 0.287140400470843 0.315382828594839 0.342402751728037 0.30551978192686 0.315382828594839
"34" 5 11 10 12 1000 0.306274834914737 0.299452259669852 0.309071172202061 0.343305157162395 0.324059318388816 0.309071172202061
"35" 5 11 11 12 1000 0.306274834914737 0.299452259669852 0.308628916502476 0.343305157162395 0.324059318388816 0.308628916502476
"36" 5 11 12 13 1000 0.306274834914737 0.298015269551683 0.313017831825894 0.343305157162395 0.324059318388816 0.313017831825894
"37" 5 11 13 12 1000 0.306274834914737 0.299452259669852 0.315620530385311 0.343305157162395 0.324059318388816 0.315620530385311
"38" 5 11 14 13 1000 0.306274834914737 0.298015269551683 0.301059342894174 0.343305157162395 0.324059318388816 0.301059342894174
"39" 5 11 15 13 1000 0.306274834914737 0.298015269551683 0.320109328669357 0.343305157162395 0.324059318388816 0.320109328669357
"40" 5 11 16 13 1000 0.306274834914737 0.298015269551683 0.313083731297798 0.343305157162395 0.324059318388816 0.313083731297798
"41" 5 11 17 17 1000 0.306274834914737 0.298938824551564 0.332080742478501 0.343305157162395 0.320529839353475 0.332080742478501
"42" 5 11 18 17 1000 0.306274834914737 0.298938824551564 0.315310768334373 0.343305157162395 0.320529839353475 0.315310768334373
"43" 5 11 19 17 1000 0.306274834914737 0.298938824551564 0.317518680653733 0.343305157162395 0.320529839353475 0.317518680653733
"44" 5 11 20 17 1000 0.306274834914737 0.298938824551564 0.30744790183666 0.343305157162395 0.320529839353475 0.30744790183666
"45" 5 12 10 13 1000 0.312583650429865 0.298015269551683 0.311541831360386 0.332578420201741 0.324059318388816 0.311541831360386
"46" 5 12 11 13 1000 0.312583650429865 0.298015269551683 0.308234891469812 0.332578420201741 0.324059318388816 0.308234891469812
"47" 5 12 12 13 1000 0.312583650429865 0.298015269551683 0.308298074205135 0.332578420201741 0.324059318388816 0.308298074205135
"48" 5 12 13 13 1000 0.312583650429865 0.298015269551683 0.303522685553633 0.332578420201741 0.324059318388816 0.303522685553633
"49" 5 12 14 13 1000 0.312583650429865 0.298015269551683 0.322313685169776 0.332578420201741 0.324059318388816 0.322313685169776
"50" 5 12 15 16 1000 0.295545800468944 0.298749952066429 0.322392994676389 0.332578420201741 0.319109121390654 0.322392994676389
"51" 5 12 16 16 1000 0.295545800468944 0.298749952066429 0.311703645608431 0.332578420201741 0.319109121390654 0.311703645608431
"52" 5 12 17 17 1000 0.295545800468944 0.298938824551564 0.309272400677853 0.332578420201741 0.320529839353475 0.309272400677853
"53" 5 12 18 17 1000 0.295545800468944 0.298938824551564 0.311600013280008 0.332578420201741 0.320529839353475 0.311600013280008
"54" 5 12 19 16 1000 0.295545800468944 0.298749952066429 0.304651901238222 0.332578420201741 0.319109121390654 0.304651901238222
"55" 5 12 20 17 1000 0.295545800468944 0.298938824551564 0.314866942504596 0.332578420201741 0.320529839353475 0.314866942504596
"56" 5 14 10 17 1000 0.289714496829936 0.298938824551564 0.31831203348617 0.330951587324045 0.320529839353475 0.31831203348617
"57" 5 14 11 17 1000 0.289714496829936 0.298938824551564 0.330743449792929 0.330951587324045 0.320529839353475 0.330743449792929
"58" 5 14 12 17 1000 0.289714496829936 0.298938824551564 0.303881933403025 0.330951587324045 0.320529839353475 0.303881933403025
"59" 5 14 13 17 1000 0.289714496829936 0.298938824551564 0.322540395366959 0.330951587324045 0.320529839353475 0.322540395366959
"60" 5 14 14 19 1000 0.289714496829936 0.284860546604747 0.31249725032786 0.330951587324045 0.322139384328804 0.31249725032786
"61" 5 14 15 19 1000 0.289714496829936 0.284860546604747 0.315137108766959 0.330951587324045 0.322139384328804 0.315137108766959
"62" 5 14 16 19 1000 0.289714496829936 0.284860546604747 0.327309151244687 0.330951587324045 0.322139384328804 0.327309151244687
"63" 5 14 17 17 1000 0.289714496829936 0.298938824551564 0.323929082714518 0.330951587324045 0.320529839353475 0.323929082714518
"64" 5 14 18 19 1000 0.289714496829936 0.284860546604747 0.310329191221836 0.330951587324045 0.322139384328804 0.310329191221836
"65" 5 14 19 19 1000 0.289714496829936 0.284860546604747 0.327751289397658 0.330951587324045 0.322139384328804 0.327751289397658
"66" 5 14 20 23 1000 0.288523380254204 0.285883186236394 0.328311357502331 0.330951587324045 0.322598393832672 0.328311357502331
"67" 5 16 10 17 1000 0.296476358702947 0.298938824551564 0.32413359920353 0.344767078297089 0.320529839353475 0.32413359920353
"68" 5 16 11 17 1000 0.296476358702947 0.298938824551564 0.308752385878263 0.344767078297089 0.320529839353475 0.308752385878263
"69" 5 16 12 17 1000 0.296476358702947 0.298938824551564 0.315519466570814 0.344767078297089 0.320529839353475 0.315519466570814
"70" 5 16 13 20 1000 0.300011712238301 0.285190090982748 0.322885732919003 0.344767078297089 0.324173064591654 0.322885732919003
"71" 5 16 14 22 1000 0.300011712238301 0.284051265782136 0.309745608314585 0.344767078297089 0.316961188697866 0.309745608314585
"72" 5 16 15 20 1000 0.296476358702947 0.285190090982748 0.352211963591491 0.344767078297089 0.324173064591654 0.352211963591491
"73" 5 16 16 23 1000 0.297789490016078 0.285883186236394 0.308759990625524 0.342544856074867 0.322598393832672 0.308759990625524
"74" 5 16 17 24 1000 0.297789490016078 0.274710231298722 0.311825553082125 0.342544856074867 0.322598393832672 0.311825553082125
"75" 5 16 18 24 1000 0.297789490016078 0.274710231298722 0.321836113626415 0.342544856074867 0.322598393832672 0.321836113626415
"76" 5 16 19 23 1000 0.300011712238301 0.285883186236394 0.315163235934029 0.344767078297089 0.322598393832672 0.315163235934029
"77" 5 16 20 69 1000 0.30749554202403 0.301224282538864 0.306897503830692 0.345583774365928 0.309410316085923 0.306897503830692
"78" 5 18 10 19 1000 0.294735519875756 0.284860546604747 0.326833905279778 0.339240716502468 0.322139384328804 0.326833905279778
"79" 5 18 11 19 1000 0.294735519875756 0.284860546604747 0.315936092827694 0.339240716502468 0.322139384328804 0.315936092827694
"80" 5 18 12 20 1000 0.294735519875756 0.285190090982748 0.313809955519131 0.339240716502468 0.324173064591654 0.313809955519131
"81" 5 18 13 21 1000 0.294735519875756 0.284628170012264 0.328212090473093 0.339240716502468 0.324173064591654 0.328212090473093
"82" 5 18 14 21 1000 0.294735519875756 0.284628170012264 0.319698764847088 0.339240716502468 0.324173064591654 0.319698764847088
"83" 5 18 15 25 1000 0.292581628015982 0.274258176463878 0.32331939785023 0.339240716502468 0.305654734078567 0.32331939785023
"84" 5 18 16 21 1000 0.294735519875756 0.284628170012264 0.310854964057696 0.339240716502468 0.324173064591654 0.310854964057696
"85" 5 18 17 21 1000 0.294735519875756 0.284628170012264 0.31549711107021 0.339240716502468 0.324173064591654 0.31549711107021
"86" 5 18 18 25 1000 0.294200760517467 0.274258176463878 0.315731130365871 0.339240716502468 0.305654734078567 0.315731130365871
"87" 5 18 19 24 1000 0.296015342149493 0.274710231298722 0.311158592587231 0.339240716502468 0.322598393832672 0.311158592587231
"88" 5 18 20 28 1000 0.29259904674818 0.268617717826698 0.312949468967358 0.339240716502468 0.310530633463506 0.312949468967358
"89" 5 20 10 21 1000 0.29896235414856 0.284628170012264 0.324348286818644 0.342957993735076 0.324173064591654 0.324348286818644
"90" 5 20 11 21 1000 0.29896235414856 0.284628170012264 0.315756776539174 0.342957993735076 0.324173064591654 0.315756776539174
"91" 5 20 12 21 1000 0.29896235414856 0.284628170012264 0.311494107824058 0.342957993735076 0.324173064591654 0.311494107824058
"92" 5 20 13 21 1000 0.29896235414856 0.284628170012264 0.326068730215886 0.342957993735076 0.324173064591654 0.326068730215886
"93" 5 20 14 22 1000 0.29896235414856 0.284051265782136 0.313673014379573 0.342957993735076 0.316961188697866 0.313673014379573
"94" 5 20 15 22 1000 0.29896235414856 0.284051265782136 0.337784944013865 0.342957993735076 0.316961188697866 0.337784944013865
"95" 5 20 16 22 1000 0.29896235414856 0.284051265782136 0.309933354249567 0.342957993735076 0.316961188697866 0.309933354249567
"96" 5 20 17 26 1000 0.29896235414856 0.269637190988827 0.313273889694569 0.342957993735076 0.305654734078567 0.313273889694569
"97" 5 20 18 31 1000 0.298176298099346 0.271701865474721 0.324256231417405 0.342957993735076 0.305975094918076 0.324256231417405
"98" 5 20 19 31 1000 0.298176298099346 0.271701865474721 0.311683172566959 0.342957993735076 0.305975094918076 0.311683172566959
"99" 5 20 20 31 1000 0.298176298099346 0.271701865474721 0.322245444734411 0.342957993735076 0.305975094918076 0.322245444734411
"100" 5 22 10 22 1000 0.312966603243693 0.284051265782136 0.333100763076907 0.35186140821315 0.316961188697866 0.333100763076907
"101" 5 22 11 22 1000 0.312966603243693 0.284051265782136 0.31284208760263 0.35186140821315 0.316961188697866 0.31284208760263
"102" 5 22 12 23 1000 0.312966603243693 0.285883186236394 0.318107431040307 0.35186140821315 0.322598393832672 0.318107431040307
"103" 5 22 13 22 1000 0.312966603243693 0.284051265782136 0.32554721560752 0.35186140821315 0.316961188697866 0.32554721560752
"104" 5 22 14 27 1000 0.31120923362918 0.269230661439769 0.316912554471511 0.35186140821315 0.313963405966047 0.316912554471511
"105" 5 22 15 28 1000 0.312127361354872 0.268617717826698 0.317454082565666 0.35186140821315 0.310530633463506 0.317454082565666
"106" 5 22 16 29 1000 0.314383836803784 0.269522960293639 0.308589158693044 0.35186140821315 0.310530633463506 0.308589158693044
"107" 5 22 17 33 1000 0.314383836803784 0.280758594323878 0.322297625011711 0.35186140821315 0.305975094918076 0.322297625011711
"108" 5 22 18 33 1000 0.314383836803784 0.280758594323878 0.3234858002351 0.35186140821315 0.305975094918076 0.3234858002351
"109" 5 22 19 32 1000 0.312127361354872 0.280758594323878 0.319312355370623 0.35186140821315 0.305975094918076 0.319312355370623
"110" 5 22 20 32 1000 0.312127361354872 0.280758594323878 0.304489627007501 0.35186140821315 0.305975094918076 0.304489627007501
"111" 10 8 10 8 1000 0.305032985610851 0.283686128870838 0.316422466108596 0.347016597007184 0.318045382264458 0.316422466108596
"112" 10 8 11 8 1000 0.305032985610851 0.283686128870838 0.311165294094161 0.347016597007184 0.318045382264458 0.311165294094161
"113" 10 8 12 8 1000 0.305032985610851 0.283686128870838 0.315220347120908 0.347016597007184 0.318045382264458 0.315220347120908
"114" 10 8 13 8 1000 0.305032985610851 0.283686128870838 0.316422466108596 0.347016597007184 0.318045382264458 0.316422466108596
"115" 10 8 14 8 1000 0.305032985610851 0.283686128870838 0.310745658906956 0.347016597007184 0.318045382264458 0.310745658906956
"116" 10 8 15 8 1000 0.305032985610851 0.283686128870838 0.317199283905165 0.347016597007184 0.318045382264458 0.317199283905165
"117" 10 8 16 8 1000 0.305032985610851 0.283686128870838 0.316679123970771 0.347016597007184 0.318045382264458 0.316679123970771
"118" 10 8 17 12 1000 0.303959753287619 0.299452259669852 0.300369476529766 0.347016597007184 0.324059318388816 0.300369476529766
"119" 10 8 18 8 1000 0.305032985610851 0.283686128870838 0.315220347120908 0.347016597007184 0.318045382264458 0.315220347120908
"120" 10 8 19 8 1000 0.305032985610851 0.283686128870838 0.317199283905165 0.347016597007184 0.318045382264458 0.317199283905165
"121" 10 8 20 11 1000 0.304464803792669 0.287140400470843 0.305877439136103 0.347016597007184 0.30551978192686 0.305877439136103
"122" 10 9 10 9 1000 0.307771147176255 0.284036235999889 0.314504280943674 0.34557930824047 0.313737477122564 0.314504280943674
"123" 10 9 11 9 1000 0.307771147176255 0.284036235999889 0.314504280943674 0.34557930824047 0.313737477122564 0.314504280943674
"124" 10 9 12 58 1000 0.312013739403696 0.303960946101426 0.334969567824765 0.353749249243057 0.310665722717031 0.334969567824765
"125" 10 9 13 54 1000 0.312360961625919 0.307451000243817 0.294510023490135 0.353749249243057 0.311117790727165 0.294510023490135
"126" 10 9 14 55 1000 0.312013739403696 0.304859318635618 0.307746581953037 0.353749249243057 0.311117790727165 0.307746581953037
"127" 10 9 15 58 1000 0.312013739403696 0.303960946101426 0.310641466589498 0.353749249243057 0.310665722717031 0.310641466589498
"128" 10 9 16 58 1000 0.312013739403696 0.303960946101426 0.294902959829716 0.353749249243057 0.310665722717031 0.294902959829716
"129" 10 9 17 55 1000 0.312013739403696 0.304859318635618 0.311217682404546 0.353749249243057 0.311117790727165 0.311217682404546
"130" 10 9 18 58 1000 0.312013739403696 0.303960946101426 0.331397458616145 0.353749249243057 0.310665722717031 0.331397458616145
"131" 10 9 19 67 1000 0.296788920682914 0.301412808319986 0.306383579708337 0.332856284849208 0.309410316085923 0.306383579708337
"132" 10 9 20 66 1000 0.295079194239145 0.301741593014809 0.312689260627062 0.332856284849208 0.311019914885036 0.312689260627062
