"overlap" "intervals" "bins" "num verticies" "numDiffexp" "mapperBHI" "hclustBHI" "kclustBHI" "mapperDiffBHI" "hclustBHIDiff" "kclustBHIDiff"
"1" 5 10 10 10 47 0.319164598413461 0.295907212232119 0.301136596981753 0.30995670995671 0.266666666666667 0.380952380952381
"2" 5 10 12 10 47 0.319164598413461 0.295907212232119 0.304816101034148 0.30995670995671 0.266666666666667 0.333333333333333
"3" 5 10 14 11 47 0.315831265080127 0.301925608168506 0.301058236768857 0.30995670995671 0.266666666666667 0.326666666666667
"4" 5 10 16 11 47 0.315831265080127 0.301925608168506 0.28934030930594 0.30995670995671 0.266666666666667 0.38
"5" 5 10 18 11 47 0.315831265080127 0.301925608168506 0.300108055410748 0.30995670995671 0.266666666666667 0.326666666666667
"6" 5 10 20 11 47 0.315831265080127 0.301925608168506 0.306489627816666 0.30995670995671 0.266666666666667 0.349489795918367
"7" 5 12 10 12 47 0.316107359575872 0.301398822109917 0.303274176525214 0.30462962962963 0.30491452991453 0.325680272108844
"8" 5 12 12 16 47 0.299389846810042 0.335189323623742 0.294142643146652 0.30462962962963 0.30491452991453 0.349702380952381
"9" 5 12 14 19 47 0.260551804020316 0.358345177191173 0.292935227888633 0.30462962962963 0.30491452991453 0.259259259259259
"10" 5 12 16 16 47 0.299389846810042 0.335189323623742 0.293300990663182 0.30462962962963 0.30491452991453 0.348148148148148
"11" 5 12 18 19 47 0.260551804020316 0.358345177191173 0.295567664912488 0.30462962962963 0.30491452991453 0.319727891156463
"12" 5 12 20 16 47 0.299389846810042 0.335189323623742 0.297658331219847 0.30462962962963 0.30491452991453 0.337053571428571
"13" 5 14 10 14 47 0.311450383513537 0.326836805984373 0.300345261346799 0.318518518518519 0.30491452991453 0.325680272108844
"14" 5 14 12 16 47 0.285131469057079 0.335189323623742 0.293092372762693 0.318518518518519 0.30491452991453 0.37037037037037
"15" 5 14 14 16 47 0.285131469057079 0.335189323623742 0.30199509055918 0.318518518518519 0.30491452991453 0.28042328042328
"16" 5 14 16 16 47 0.285131469057079 0.335189323623742 0.294260337969403 0.318518518518519 0.30491452991453 0.351851851851852
"17" 5 14 18 16 47 0.285131469057079 0.335189323623742 0.291270541402183 0.318518518518519 0.30491452991453 0.355194805194805
"18" 5 14 20 54 47 0.265627885542051 0.337453023726523 0.290857371157056 0.318518518518519 0.331818181818182 0.314583333333333
"19" 5 16 10 16 47 0.315150072870097 0.335189323623742 0.301633649433969 0.262566137566138 0.30491452991453 0.352462121212121
"20" 5 16 12 30 47 0.286078103173128 0.335434332125653 0.296971601991031 0.262566137566138 0.350378787878788 0.321428571428571
"21" 5 16 14 17 47 0.302826744394771 0.34692756126178 0.300817394798944 0.262566137566138 0.30491452991453 0.364583333333333
"22" 5 16 16 18 47 0.278691739536764 0.34748738092311 0.304843307162049 0.262566137566138 0.30491452991453 0.259259259259259
"23" 5 16 18 31 47 0.286078103173128 0.33317361051308 0.294817340837551 0.262566137566138 0.350378787878788 0.308333333333333
"24" 5 16 20 37 47 0.326946403626432 0.32420247759088 0.311516451625685 0.262566137566138 0.331818181818182 0.361904761904762
"25" 5 18 10 19 47 0.29734439111188 0.358345177191173 0.293323314945545 0.321969696969697 0.30491452991453 0.270833333333333
"26" 5 18 12 28 47 0.284528961976035 0.334695386180676 0.300599005968021 0.321969696969697 0.329004329004329 0.333333333333333
"27" 5 18 14 32 47 0.320095082223039 0.33317361051308 0.299607552208899 0.321969696969697 0.350378787878788 0.322916666666667
"28" 5 18 16 33 47 0.320095082223039 0.318087407011118 0.291701680161297 0.321969696969697 0.331818181818182 0.231481481481481
"29" 5 18 18 33 47 0.320095082223039 0.318087407011118 0.295874302237558 0.321969696969697 0.331818181818182 0.34375
"30" 5 18 20 33 47 0.320095082223039 0.318087407011118 0.290734222742672 0.321969696969697 0.331818181818182 0.308333333333333
"31" 5 20 10 23 47 0.311847609541326 0.341569694381586 0.293827643122163 0.266666666666667 0.30491452991453 0.329365079365079
"32" 5 20 12 23 47 0.311847609541326 0.341569694381586 0.291915027724233 0.266666666666667 0.30491452991453 0.35
"33" 5 20 14 23 47 0.311847609541326 0.341569694381586 0.300997311465223 0.266666666666667 0.30491452991453 0.319444444444444
"34" 5 20 16 25 47 0.311761610229321 0.340890547337046 0.295438749280593 0.266666666666667 0.30491452991453 0.308333333333333
"35" 5 20 18 31 47 0.322958720652437 0.33317361051308 0.311272443549429 0.266666666666667 0.350378787878788 0.342592592592593
"36" 5 20 20 32 47 0.32039610408378 0.33317361051308 0.30455647357319 0.266666666666667 0.350378787878788 0.342592592592593
"37" 5 22 10 25 47 0.315217642016678 0.340890547337046 0.291746115746413 0.269480519480519 0.30491452991453 0.297619047619048
"38" 5 22 12 25 47 0.315217642016678 0.340890547337046 0.30374952816486 0.269480519480519 0.30491452991453 0.345833333333333
"39" 5 22 14 47 47 0.317710299867179 0.311587945466819 0.288082261941449 0.269480519480519 0.331818181818182 0.244444444444444
"40" 5 22 16 54 47 0.330868194604022 0.337453023726523 0.309813362801438 0.269480519480519 0.331818181818182 0.255555555555556
"41" 5 22 18 54 47 0.330868194604022 0.337453023726523 0.299813210855847 0.269480519480519 0.331818181818182 0.279166666666667
"42" 5 22 20 47 47 0.317710299867179 0.311587945466819 0.295480375111361 0.269480519480519 0.331818181818182 0.324074074074074
"43" 5 24 10 29 47 0.297909672949411 0.335434332125653 0.297254662723568 0.3 0.350378787878788 0.321428571428571
"44" 5 24 12 39 47 0.303537378577117 0.315254603116336 0.296948984680453 0.3 0.331818181818182 0.255555555555556
"45" 5 24 14 29 47 0.297909672949411 0.335434332125653 0.300227240678091 0.3 0.350378787878788 0.317460317460317
"46" 5 24 16 29 47 0.297909672949411 0.335434332125653 0.300401825244194 0.3 0.350378787878788 0.319444444444444
"47" 5 24 18 39 47 0.303537378577117 0.315254603116336 0.311604153537579 0.3 0.331818181818182 0.29047619047619
"48" 5 24 20 39 47 0.303537378577117 0.315254603116336 0.30353291579022 0.3 0.331818181818182 0.283333333333333
"49" 5 26 10 28 47 0.317545315826335 0.334695386180676 0.290681591050075 0.30625 0.329004329004329 0.280952380952381
"50" 5 26 12 37 47 0.3110235766959 0.32420247759088 0.300246359820026 0.30625 0.331818181818182 0.347916666666667
"51" 5 26 14 37 47 0.3110235766959 0.32420247759088 0.302692510994084 0.30625 0.331818181818182 0.358333333333333
"52" 5 26 16 42 47 0.313061279648935 0.300079702843794 0.301387896792168 0.30625 0.331818181818182 0.372222222222222
"53" 5 26 18 38 47 0.311055546005363 0.319818224727558 0.316877813838106 0.30625 0.331818181818182 0.297222222222222
"54" 5 26 20 43 47 0.31872398322246 0.300079702843794 0.290055848521885 0.30625 0.331818181818182 0.320987654320988
"55" 5 28 10 32 47 0.303627908916675 0.33317361051308 0.294290914497206 0.358333333333333 0.350378787878788 0.322916666666667
"56" 5 28 12 32 47 0.303627908916675 0.33317361051308 0.300683089971714 0.358333333333333 0.350378787878788 0.32962962962963
"57" 5 28 14 32 47 0.303627908916675 0.33317361051308 0.290717776871613 0.358333333333333 0.350378787878788 0.308333333333333
"58" 5 28 16 37 47 0.303405148017443 0.32420247759088 0.286251010550672 0.358333333333333 0.331818181818182 0.354166666666667
"59" 5 28 18 38 47 0.302653879942646 0.319818224727558 0.30005874555293 0.358333333333333 0.331818181818182 0.2875
