"overlap" "intervals" "bins" "num verticies" "numDiffexp" "mapperBHI" "hclustBHI" "kclustBHI" "mapperDiffBHI" "hclustBHIDiff" "kclustBHIDiff"
"1" 10 25 10 59 1000 0.37241368383375 0.36034624868495 0.310512584721637 0.36119144552013 0.348091494356526 0.310512584721637
"2" 10 25 15 74 1000 0.366338144968691 0.354619918016848 0.321739733779749 0.36119144552013 0.350881211736422 0.321739733779749
"3" 10 25 20 114 1000 0.365080998693579 0.347118862380137 0.331372308889856 0.373850229530508 0.340906421405122 0.331372308889856
"4" 10 25 25 157 1000 0.365329062792434 0.335154396887796 0.32121601536063 0.374121962489316 0.332920906209264 0.32121601536063
"5" 10 25 30 236 1000 0.379177459293892 0.335459106460421 0.328146937085231 0.391090288281171 0.351323622654587 0.328146937085231
"6" 10 25 35 236 1000 0.379177459293892 0.335459106460421 0.345971362722647 0.391090288281171 0.351323622654587 0.345971362722647
"7" 10 25 40 240 1000 0.379037490861241 0.33620837862534 0.32328068775375 0.391090288281171 0.352202406046807 0.32328068775375
"8" 10 30 10 63 1000 0.367695661489102 0.359667963075364 0.332931722007191 0.361229646137146 0.343028708444606 0.332931722007191
"9" 10 30 15 93 1000 0.362520027929862 0.347540399397555 0.318599461579683 0.360959083366583 0.333445919318209 0.318599461579683
"10" 10 30 20 113 1000 0.362789369952055 0.347118862380137 0.339251580278499 0.365449198447532 0.340906421405122 0.339251580278499
"11" 10 30 25 121 1000 0.362401640280594 0.339883104151146 0.318365656882369 0.361542583373972 0.332732016989106 0.318365656882369
"12" 10 30 30 124 1000 0.362338535493225 0.33885821673319 0.331740332594512 0.361542583373972 0.328472389918421 0.331740332594512
"13" 10 30 35 175 1000 0.366699455937802 0.341351348876772 0.322847164523361 0.370298622021315 0.340824586573188 0.322847164523361
"14" 10 30 40 153 1000 0.361263963184801 0.333998759785599 0.341432589971779 0.360316981394513 0.332920906209264 0.341432589971779
"15" 10 35 10 40 1000 0.357263877725369 0.370939797654505 0.340962437341039 0.34651355244669 0.332868758903857 0.340962437341039
"16" 10 35 15 118 1000 0.354675460359884 0.345400011021231 0.34194591390554 0.355183618354082 0.340876020158725 0.34194591390554
"17" 10 35 20 155 1000 0.364585422497223 0.334723575411453 0.328287678700854 0.362407178209744 0.332920906209264 0.328287678700854
"18" 10 35 25 169 1000 0.364405873476637 0.339037396463394 0.319681832741612 0.358624076684152 0.335305360553887 0.319681832741612
"19" 10 35 30 168 1000 0.364405873476637 0.339087674046122 0.329377071545129 0.358624076684152 0.335305360553887 0.329377071545129
"20" 10 35 35 217 1000 0.364719678457469 0.329444100768319 0.365664185616481 0.366340997444551 0.332543588832299 0.365664185616481
"21" 10 35 40 246 1000 0.358272554145679 0.337796997098623 0.353126860818845 0.350892507066376 0.35208369460575 0.353126860818845
"22" 10 40 10 76 1000 0.349888624597967 0.348738203899787 0.332085570789811 0.332587594264092 0.340837422959167 0.332085570789811
"23" 10 40 15 121 1000 0.34549564614334 0.339883104151146 0.32582557902892 0.338513341678285 0.332732016989106 0.32582557902892
"24" 10 40 20 142 1000 0.360874468288918 0.337262157988308 0.336988764414827 0.358458280258963 0.329915681056075 0.336988764414827
"25" 10 40 25 434 1000 0.368084674567722 0.337029975231766 0.346649831649832 0.361836118696645 0.351435940013657 0.346649831649832
"26" 10 40 30 482 1000 0.361987523021349 0.337737171196218 0.333341210760566 0.355169452029979 0.353432766275488 0.333341210760566
"27" 10 40 35 452 1000 0.362714928987885 0.336721269703163 0.348837632822568 0.355169452029979 0.349524403434091 0.348837632822568
"28" 10 40 40 589 1000 0.370807369594665 0.344004689953267 0.343062608687609 0.363476381653886 0.353821321191954 0.343062608687609
"29" 10 45 10 77 1000 0.355635164948246 0.351243538643715 0.329120406133511 0.337683963946375 0.344765889525538 0.329120406133511
"30" 10 45 15 108 1000 0.355642869083023 0.343634419519422 0.323380180506233 0.352776514427284 0.336969893664622 0.323380180506233
"31" 10 45 20 130 1000 0.353036902662444 0.337927138952299 0.336817956221746 0.34797355876226 0.328438683338835 0.336817956221746
"32" 10 45 25 386 1000 0.356321377538634 0.332569840505222 0.352557744188179 0.345981878700725 0.354119926317424 0.352557744188179
"33" 10 45 30 496 1000 0.372570918980494 0.335920702484427 0.337100407435702 0.367482818666521 0.348101798651725 0.337100407435702
"34" 10 45 35 633 1000 0.362422744627231 0.347005687213232 0.339473006264051 0.373474104069571 0.355353868820255 0.339473006264051
