"overlap" "intervals" "bins" "num verticies" "numDiffexp" "mapperBHI" "hclustBHI" "kclustBHI" "mapperDiffBHI" "hclustBHIDiff" "kclustBHIDiff"
"1" 5 8 10 8 76 0.323727257396198 0.328362947289878 0.276582792207792 0.315215353818295 0.271984681984682 0.276582792207792
"2" 5 8 11 8 76 0.323727257396198 0.328362947289878 0.276582792207792 0.315215353818295 0.271984681984682 0.276582792207792
"3" 5 8 12 8 76 0.323727257396198 0.328362947289878 0.276582792207792 0.315215353818295 0.271984681984682 0.276582792207792
"4" 5 8 13 8 76 0.323727257396198 0.328362947289878 0.276582792207792 0.315215353818295 0.271984681984682 0.276582792207792
"5" 5 8 14 8 76 0.323727257396198 0.328362947289878 0.276582792207792 0.315215353818295 0.271984681984682 0.276582792207792
"6" 5 8 15 8 76 0.323727257396198 0.328362947289878 0.267584003298289 0.315215353818295 0.271984681984682 0.267584003298289
"7" 5 8 16 8 76 0.323727257396198 0.328362947289878 0.276582792207792 0.315215353818295 0.271984681984682 0.276582792207792
"8" 5 8 17 10 76 0.320155828824769 0.311060582020673 0.241666666666667 0.315215353818295 0.219877741306313 0.241666666666667
"9" 5 8 18 17 76 0.332655828824769 0.323982868768934 0.196005509641873 0.315215353818295 0.210104895104895 0.196005509641873
"10" 5 8 19 17 76 0.332655828824769 0.323982868768934 0.271759259259259 0.315215353818295 0.210104895104895 0.271759259259259
"11" 5 8 20 17 76 0.332655828824769 0.323982868768934 0.27718253968254 0.315215353818295 0.210104895104895 0.27718253968254
"12" 5 9 10 9 76 0.324471874757917 0.328243506070908 0.265922619047619 0.249255156608098 0.228241203241203 0.265922619047619
"13" 5 9 11 9 76 0.324471874757917 0.328243506070908 0.265922619047619 0.249255156608098 0.228241203241203 0.265922619047619
"14" 5 9 12 9 76 0.324471874757917 0.328243506070908 0.245851370851371 0.249255156608098 0.228241203241203 0.245851370851371
"15" 5 9 13 9 76 0.324471874757917 0.328243506070908 0.265922619047619 0.249255156608098 0.228241203241203 0.265922619047619
"16" 5 9 14 10 76 0.320768171054213 0.311060582020673 0.265922619047619 0.249255156608098 0.219877741306313 0.265922619047619
"17" 5 9 15 9 76 0.324471874757917 0.328243506070908 0.265922619047619 0.249255156608098 0.228241203241203 0.265922619047619
