"overlap" "intervals" "bins" "num verticies" "numDiffexp" "mapperBHI" "hclustBHI" "kclustBHI" "mapperDiffBHI" "hclustBHIDiff" "kclustBHIDiff"
"1" 5 18 10 21 1000 0.293122605167002 0.3060306481077 0.283948009759556 0.342670628308802 0.325690950073198 0.313568419834048
"2" 5 18 11 24 1000 0.294102997323864 0.286162059337779 0.28869017091354 0.342670628308802 0.318041144270223 0.329421901684299
"3" 5 18 12 24 1000 0.294102997323864 0.286162059337779 0.288862599706569 0.342670628308802 0.318041144270223 0.314264198930898
"4" 5 18 13 25 1000 0.294124134619712 0.287507345517468 0.288881617205328 0.342670628308802 0.327103194047914 0.29945337010081
"5" 5 18 14 24 1000 0.294102997323864 0.286162059337779 0.288597983479145 0.342670628308802 0.318041144270223 0.316185243724189
"6" 5 18 15 28 1000 0.294102997323864 0.289460013139261 0.285342453541177 0.342670628308802 0.328321262315984 0.305775962241597
"7" 5 18 16 28 1000 0.294102997323864 0.289460013139261 0.286694886431841 0.342670628308802 0.328321262315984 0.288798837609548
"8" 5 18 17 29 1000 0.294124134619712 0.296780805756439 0.287727822247701 0.342670628308802 0.328321262315984 0.335964797450193
"9" 5 18 18 29 1000 0.294102997323864 0.296780805756439 0.28661422035908 0.342670628308802 0.328321262315984 0.317351729047913
"10" 5 18 19 31 1000 0.288872285855935 0.292766378865795 0.28696703447118 0.332182003529388 0.334971819884619 0.315636372558675
"11" 5 18 20 34 1000 0.288896241457896 0.288129784086358 0.290639930003542 0.332182003529388 0.33243436200316 0.311816098994014
"12" 5 20 10 22 1000 0.301006738484812 0.300887585067867 0.286587430345322 0.336085494693925 0.317439131107234 0.305677913720131
"13" 5 20 11 26 1000 0.304515510414636 0.28624565130311 0.286497930629152 0.336085494693925 0.327103194047914 0.33709010798956
"14" 5 20 12 25 1000 0.304515510414636 0.287507345517468 0.285565451130856 0.336085494693925 0.327103194047914 0.308075368021362
"15" 5 20 13 29 1000 0.304535190375307 0.296780805756439 0.288773233346539 0.336085494693925 0.328321262315984 0.33040359711374
"16" 5 20 14 27 1000 0.300129545502355 0.290059180033784 0.288246640824503 0.336085494693925 0.331707205162917 0.299607026741161
"17" 5 20 15 28 1000 0.304515510414636 0.289460013139261 0.287067007178062 0.336085494693925 0.328321262315984 0.307761961260377
"18" 5 20 16 28 1000 0.304515510414636 0.289460013139261 0.28768886844754 0.336085494693925 0.328321262315984 0.319166287257223
"19" 5 20 17 32 1000 0.313307120199868 0.288299488130043 0.289417595302333 0.336085494693925 0.334971819884619 0.318829326385758
"20" 5 20 18 30 1000 0.313287440239198 0.296573761675265 0.287649767419969 0.336085494693925 0.325884266845108 0.315437929926923
"21" 5 20 19 34 1000 0.302914520252486 0.288129784086358 0.289637890123741 0.326443464970038 0.33243436200316 0.304214302223606
"22" 5 20 20 35 1000 0.302935293544305 0.287787280147736 0.286228766833715 0.326443464970038 0.331887395451783 0.296206516924465
"23" 5 22 10 29 1000 0.303842318149222 0.296780805756439 0.28414683000999 0.341531558385046 0.328321262315984 0.308289418454708
"24" 5 22 11 32 1000 0.306903542639018 0.288299488130043 0.28506449365947 0.341531558385046 0.334971819884619 0.306620701458217
"25" 5 22 12 32 1000 0.306903542639018 0.288299488130043 0.287139519064713 0.341531558385046 0.334971819884619 0.303808168105653
"26" 5 22 13 32 1000 0.306903542639018 0.288299488130043 0.287441393704074 0.341531558385046 0.334971819884619 0.318085886797286
"27" 5 22 14 30 1000 0.302935288670764 0.296573761675265 0.285711153916055 0.341531558385046 0.325884266845108 0.318296853307676
"28" 5 22 15 32 1000 0.306903542639018 0.288299488130043 0.281485525687304 0.341531558385046 0.334971819884619 0.298633144040461
"29" 5 22 16 32 1000 0.306903542639018 0.288299488130043 0.287788414496678 0.341531558385046 0.334971819884619 0.303140911280292
"30" 5 22 17 32 1000 0.306903542639018 0.288299488130043 0.281442243671478 0.341531558385046 0.334971819884619 0.3139341282537
"31" 5 22 18 32 1000 0.306903542639018 0.288299488130043 0.285316693034647 0.341531558385046 0.334971819884619 0.305220510273193
"32" 5 22 19 36 1000 0.297248719770969 0.289037788058672 0.285409497059607 0.333191114089522 0.332633152186732 0.302924575805539
"33" 5 22 20 50 1000 0.29756528408046 0.316573582093227 0.283575500686781 0.333504397297542 0.330211461687217 0.29937316428485
"34" 5 24 10 26 1000 0.292581425710221 0.28624565130311 0.284866916068257 0.335660072760453 0.327103194047914 0.31244530795345
"35" 5 24 11 27 1000 0.2963693044981 0.290059180033784 0.285810006796138 0.335660072760453 0.331707205162917 0.31406436722158
"36" 5 24 12 27 1000 0.2963693044981 0.290059180033784 0.287634801148608 0.335660072760453 0.331707205162917 0.321186692592211
"37" 5 24 13 37 1000 0.302545620585311 0.294795032499353 0.284196695501676 0.343707377812538 0.332633152186732 0.295423049801481
"38" 5 24 14 36 1000 0.298577366617057 0.289037788058672 0.283625904674766 0.343707377812538 0.332633152186732 0.299674105698013
"39" 5 24 15 37 1000 0.302545620585311 0.294795032499353 0.283936928200511 0.343707377812538 0.332633152186732 0.288438935749859
"40" 5 24 16 37 1000 0.302545620585311 0.294795032499353 0.284411949695976 0.343707377812538 0.332633152186732 0.331331268137334
"41" 5 24 17 37 1000 0.302545620585311 0.294795032499353 0.284480413399129 0.343707377812538 0.332633152186732 0.316774561119022
"42" 5 24 18 27 1000 0.2963693044981 0.290059180033784 0.286975786352673 0.335660072760453 0.331707205162917 0.311563078696042
"43" 5 24 19 40 1000 0.292672901614577 0.304138608717531 0.286174595076935 0.335892746703165 0.332633152186732 0.308540307612122
"44" 5 24 20 41 1000 0.292689715940601 0.306495459674923 0.281397890594783 0.335892746703165 0.334127757793664 0.316632459633852
"45" 5 26 10 37 1000 0.289899998917564 0.294795032499353 0.287269351714966 0.338408047646275 0.332633152186732 0.316267309978337
"46" 5 26 11 37 1000 0.293372221139786 0.294795032499353 0.285129406937146 0.338408047646275 0.332633152186732 0.29699679359016
"47" 5 26 12 40 1000 0.293372221139786 0.304138608717531 0.284048177876333 0.338408047646275 0.332633152186732 0.297057117560461
"48" 5 26 13 38 1000 0.293372221139786 0.293829521319833 0.284687656898463 0.338408047646275 0.332633152186732 0.301774893535915
"49" 5 26 14 36 1000 0.289899998917564 0.289037788058672 0.285034667697564 0.338408047646275 0.332633152186732 0.302348984062204
"50" 5 26 15 40 1000 0.293372221139786 0.304138608717531 0.284813747552714 0.338408047646275 0.332633152186732 0.294554965510592
"51" 5 26 16 43 1000 0.292677776695341 0.313291186201305 0.286073923186788 0.331382310587418 0.334127757793664 0.299294808723839
"52" 5 26 17 43 1000 0.292677776695341 0.313291186201305 0.284455977131482 0.331382310587418 0.334127757793664 0.312463298167021
"53" 5 26 18 43 1000 0.292677776695341 0.313291186201305 0.287433960651777 0.331382310587418 0.334127757793664 0.314016835349845
"54" 5 26 19 65 1000 0.286242889262051 0.307930916570059 0.277499820270646 0.335372881814585 0.320197685552638 0.311135234068984
"55" 5 26 20 67 1000 0.286256870442573 0.305658504635929 0.28030844182911 0.335372881814585 0.316111911400822 0.314312539423088
"56" 5 28 10 37 1000 0.286752109575328 0.294795032499353 0.282948515660983 0.330145265704181 0.332633152186732 0.320998031617209
"57" 5 28 11 58 1000 0.290786296522444 0.308314034587839 0.282565758225665 0.336416910478388 0.324222054574641 0.309608531522398
"58" 5 28 12 56 1000 0.294024391760539 0.309030327692458 0.28311693076535 0.336416910478388 0.325888721241308 0.312029533673738
"59" 5 28 13 60 1000 0.306275408083895 0.309650649388865 0.28205301661765 0.336416910478388 0.328425008766222 0.293406388557317
"60" 5 28 14 61 1000 0.306275408083895 0.308776634515403 0.282927592841515 0.336416910478388 0.328425008766222 0.298992816973216
"61" 5 28 15 60 1000 0.302902392210879 0.309650649388865 0.276755252854743 0.336416910478388 0.328425008766222 0.29284902961678
"62" 5 28 16 61 1000 0.306275408083895 0.308776634515403 0.283353978474496 0.336416910478388 0.328425008766222 0.299913142145127
"63" 5 28 17 61 1000 0.306275408083895 0.308776634515403 0.28125440140557 0.336416910478388 0.328425008766222 0.311132484377729
"64" 5 28 18 63 1000 0.305927761902915 0.307841211308049 0.279461360269557 0.336416910478388 0.318317594925319 0.287635755248858
"65" 5 28 19 64 1000 0.29748983850739 0.308058531763403 0.281237724952051 0.328981315500132 0.318364228921325 0.318714799719444
"66" 5 28 20 64 1000 0.297784772679453 0.308058531763403 0.282476561884507 0.328701595220412 0.318364228921325 0.304071976900468
"67" 10 18 10 24 1000 0.293621339489619 0.286162059337779 0.287921397515317 0.339585687312844 0.318041144270223 0.321241615167894
"68" 10 18 11 28 1000 0.294601731646482 0.289460013139261 0.285861096289821 0.339585687312844 0.328321262315984 0.299255167814945
"69" 10 18 12 28 1000 0.294601731646482 0.289460013139261 0.283095774354687 0.339585687312844 0.328321262315984 0.298328803116559
"70" 10 18 13 29 1000 0.294622947295301 0.296780805756439 0.286266863676936 0.339585687312844 0.328321262315984 0.324562529544226
"71" 10 18 14 28 1000 0.294601731646482 0.289460013139261 0.288215911064696 0.339585687312844 0.328321262315984 0.312657216561571
"72" 10 18 15 28 1000 0.294601731646482 0.289460013139261 0.28453630989153 0.339585687312844 0.328321262315984 0.29558299469449
"73" 10 18 16 28 1000 0.294601731646482 0.289460013139261 0.286898285544376 0.339585687312844 0.328321262315984 0.322117200698955
"74" 10 18 17 29 1000 0.294622947295301 0.296780805756439 0.288242226034337 0.339585687312844 0.328321262315984 0.303787237677809
"75" 10 18 18 30 1000 0.294269441867825 0.296573761675265 0.285950267337511 0.339585687312844 0.325884266845108 0.299251000472149
"76" 10 18 19 30 1000 0.30259767320772 0.296573761675265 0.284255072149478 0.339585687312844 0.325884266845108 0.30352043394513
"77" 10 18 20 33 1000 0.302620214834591 0.288299488130043 0.287000476177314 0.339585687312844 0.334971819884619 0.300377051515256
